CPC,Service Name,TME Category,Current CHG_Price,Upgrade_CPC,Free_CPC,Free_Period
7417,Contactos Localiza,Chats,0.15,7417,,0
17793,Chat Gay,Chats,1.0,17793,,0
8780,Desc. Gameloft,Games,2.0,8780,,0
8784,Desc. Gameloft,Games,1.0,8784,,0
9197,Desc. Microjocs,Games,3.0,9197,,0
9238,Desc.dbigames,Games,3.0,9238,,0
14887,Solo de Juegos,Games,2.0,14887,,0
17589,Desc TopGam,Games,2.0,17589,,0
24852,Contenido Glu,Games,1.0,24852,,0
24855,Contenido Glu,Games,3.0,24855,,0
24857,Contenido Glu,Games,4.0,24857,,0
26812,,Games,3.0,26812,,0
26815,JuegoTHQ 4e,Games,4.0,26815,,0
28616,Juego 3€,Games,3.0,28616,,0
29295,Juego EA 1e,Games,1.0,29295,,0
29297,Juego EA 2e,Games,2.0,29297,,0
29300,Juego EA 3e,Games,3.0,29300,,0
30410,"Juegos EA 1,99eur",Games,1.99,30410,,0
30412,"Juegos EA 2,99eur",Games,2.99,30412,,0
30415,"Juegos EA 3,99eur",Games,3.99,30415,,0
30417,"Juegos EA 4,99",Games,4.99,30417,,0
31952,"Juego Glu 1,99 eu",Games,1.99,31952,,0
31954,"Juego Glu 2,99 eu",Games,2.99,31954,,0
31956,"Juego Glu 3,99 eu",Games,3.99,31956,,0
33291,"Url 3,99 eur",Games,3.99,33291,,0
33295,"Juego HD 1,99",Games,1.99,33295,,0
33299,"Juego HD 2,99",Games,2.99,33299,,0
33301,"Juego HD 3,99",Games,3.99,33301,,0
33303,"Juego HD 4,99",Games,4.99,33303,,0
33853,Glu HD,Games,4.99,33853,,0
33855,Glu HD,Games,3.99,33855,,0
33857,Glu HD 299,Games,2.99,33857,,0
33859,Glu HD 199,Games,1.99,33859,,0
34164,Desc Juego 4 eur,Games,4.0,34164,,0
34590,Extra Juego 149,Games,1.49,34590,,0
34594,Extra Juego 249,Games,1.49,34594,,0
34597,Extra Juego 399,Games,3.99,34597,,0
34601,Extra Juego 599,Games,5.99,34601,,0
35689,Juego HD de EA,Games,3.99,35689,,0
37252,"Extra Juego 4,49",Games,4.49,37252,,0
37254,"Extra Juego 5,49",Games,5.49,37254,,0
37258,"Extra Juego 6,99",Games,6.99,37258,,0
37260,"Extra Juego 7,99",Games,7.99,37260,,0
37284,"Juego EA 3,99 D",Games,3.99,37284,,0
37308,Extra Juego EA,Games,0.75,37308,,0
37310,Extra Juego EA,Games,1.49,37310,,0
37312,Extra Juego EA,Games,2.49,37312,,0
37828,Juegos Cartoon,Games,0.75,37828,,0
37830,Cartoon Network,Games,0.99,37830,,0
37832,Cartoon Network,Games,1.99,37832,,0
37834,Cartoon Network,Games,2.49,37834,,0
37836,Cartoon Network,Games,2.99,37836,,0
38641,Juego,Games,0.75,38641,,0
38643,Juego,Games,3.99,38643,,0
38645,Juego,Games,6.99,38645,,0
38647,Juego,Games,7.99,38647,,0
4746,Chistes,Humor,0.15,4746,,0
16293,Tonos,Humor,5.0,16293,,0
16297,Tonos,Humor,5.0,16297,,0
17612,Tonos Padre USA,Humor,5.0,17612,,0
17641,Tonos FOX,Humor,5.0,17641,,0
22084,Tonos Reales,Humor,2.0,22084,,0
22088,TonoNombres,Humor,2.0,22088,,0
22090,TonoChistes,Humor,2.0,22090,,0
22102,Fondos Portal Humor,Humor,1.5,22102,,0
22104,Diver Portal Humor,Humor,1.5,22104,,0
32212,Todo Humor,Humor,1.99,32212,,0
10273,Chicos Malos,Images,1.5,10273,,0
12470,,Images,1.5,12470,,0
21023,Fondodedicatoria,Images,1.5,21023,,0
21025,Fondonombres,Images,1.5,21025,,0
21027,Temas,Images,2.0,21027,,0
22106,Ofertas,Images,1.0,22106,,0
22116,Ofertas Branded,Images,1.0,22116,,0
22126,Fondos,Images,1.5,22126,,0
22128,Videos,Images,2.0,22128,,0
22130,Animaciones,Images,1.5,22130,,0
22136,Fondos Branded,Images,1.5,22136,,0
22138,Videos Branded,Images,2.0,22138,,0
22140,Animaciones Brand,Images,1.5,22140,,0
22647,Fondos Paises,Images,1.5,22647,,0
25064,Anim sexy Wap,Images,1.5,25064,,0
25082,Imags sexy xhtml,Images,1.5,25082,,0
25084,Anim sexy Xhtml,Images,1.5,25084,,0
31132,FondosMotoGP,Images,1.5,31132,,0
724,Fotos La gruta del Sexo,Light,2.5,724,,0
726,Contactos La gruta del Sexo,Light,0.5,726,,0
886,Fotos Chicas,Light,3.0,886,,0
890,Fotos Chicas,Light,1.5,890,,0
892,Fotos Chicas,Light,1.5,892,,0
945,Chat Gruta del Sexo,Light,1.0,945,,0
947,Fotos La gruta del Sexo,Light,2.5,947,,0
1017,,Light,2.5,1017,,0
1018,,Light,0.6,1018,,0
1019,,Light,0.5,1019,,0
1020,,Light,0.5,1020,,0
1021,,Light,0.5,1021,,0
1024,,Light,0.5,1024,,0
1030,Relatos Eroticos,Light,1.5,1030,,0
4090,Fotos,Light,2.0,4090,,0
4092,Clips,Light,2.5,4092,,0
10883,Video Playboy,Light,2.5,10883,,0
11731,California Sexy,Light,3.0,11731,,0
11732,California Sexy,Light,3.0,11732,,0
16228,Top Models,Light,1.5,16228,,0
16725,La Gruta del Sexo,Light,3.0,16725,,0
17795,Gmobile Dating,Light,1.0,17795,,0
17798,Desc. Imag Vanity,Light,2.0,17798,,0
17804,Desc Imag Sure-At,Light,2.0,17804,,0
17808,Desc.Ima Sure-Fox,Light,2.0,17808,,0
17810,Desc.Ima Sure-Oh,Light,2.0,17810,,0
17812,Desc.Ima Sure-Tho,Light,2.0,17812,,0
17814,Des.Im Sure-Valle,Light,2.0,17814,,0
17816,Des.Ima Sure-Allm,Light,2.0,17816,,0
17818,Des.Ima Sure-Huge,Light,2.0,17818,,0
17820,Multimedia,Light,2.0,17820,,0
18091,Desc.PamelaAnder,Light,2.5,18091,,0
18187,Sure-High,Light,3.0,18187,,0
18191,Sure-Kristen,Light,3.0,18191,,0
18201,Sure-Pitbull,Light,3.0,18201,,0
18203,Sure-Real,Light,3.0,18203,,0
19162,Desc.FotosPrivate,Light,1.5,19162,,0
19171,Juego Private,Light,3.0,19171,,0
21035,Hot Video 2.1,Light,1.5,21035,,0
21104,Digital Play Ground Videos,Light,2.5,21104,,0
21110,Susc.Imagenes,Light,1.5,21110,,0
21482,Sueños Calientes,Light,3.0,21482,,0
22726,Video Porn Stars,Light,1.5,22726,,0
22728,Video Porn Stars,Light,2.5,22728,,0
23265,Venus,Light,2.5,23265,,0
23275,Forman TV,Light,2.5,23275,,0
23382,Fantasy Mansion,Light,2.0,23382,,0
23385,Wicked TV,Light,2.5,23385,,0
23835,Bizarro,Light,2.0,23835,,0
23839,Corridas,Light,2.0,23839,,0
23843,Hardcore,Light,2.0,23843,,0
23843,Hentai,Light,2.0,23843,,0
23847,Hentai,Light,2.0,23847,,0
23851,Lesbianas,Light,2.0,23851,,0
23855,Famosas,Light,2.0,23855,,0
23869,Anal,Light,5.0,23869,,0
24061,You Porn,Light,2.0,24061,,0
24062,Canal Webcams,Light,2.0,24062,,0
24063,Canal Amateur,Light,2.0,24063,,0
24064,Canal Hentai,Light,2.0,24064,,0
24067,Canal XXX,Light,2.0,24067,,0
24068,Canal Para Ellas,Light,2.0,24068,,0
24069,Canal Especiales,Light,2.0,24069,,0
24070,Canal Porn Stars,Light,2.0,24070,,0
24274,FHM,Light,5.0,24274,,0
25061,Imagenes sexy wap,Light,1.5,25061,,0
25067,Videos sexy Wap,Light,2.0,25067,,0
25071,Hardcore,Light,2.0,25071,,0
25086,Video Sexy,Light,2.0,25086,,0
25175,Interviu,Light,2.5,25175,,0
25178,Interviu,Light,2.5,25178,,0
25377,Private XXX,Light,2.5,25377,,0
25710,Duos,Light,1.5,25710,,0
26996,Venus,Light,1.5,26996,,0
26998,Venus,Light,2.5,26998,,0
27000,ForMan,Light,1.5,27000,,0
27002,ForMan,Light,2.5,27002,,0
28452,Asiaticas,Light,3.0,28452,,0
28454,Asiaticas,Light,2.0,28454,,0
28458,Asiaticas,Light,3.0,28458,,0
29033,Playboy Tv,Light,2.0,29033,,0
29150,Incesto,Light,2.0,29150,,0
29154,Gang Bang,Light,2.0,29154,,0
30199,Anal,Light,2.0,30199,,0
30203,Enfermeras,Light,2.0,30203,,0
30228,Exnovias,Light,2.0,30228,,0
30232,Webcams,Light,2.0,30232,,0
30236,Tetonas XXX,Light,2.0,30236,,0
30240,Universitarias,Light,2.0,30240,,0
30244,Orgias,Light,2.0,30244,,0
30269,Orgasmos,Light,2.0,30269,,0
30273,Travestis,Light,2.0,30273,,0
30277,Interracial,Light,2.0,30277,,0
30281,Porno Japones,Light,2.0,30281,,0
30285,Peludas,Light,2.0,30285,,0
30289,Gordas,Light,2.0,30289,,0
30293,Meadas,Light,2.0,30293,,0
30469,Intercambios,Light,2.0,30469,,0
30473,Amateur,Light,2.0,30473,,0
30657,Mystique,Light,2.5,30657,,0
30659,Mystique,Light,1.5,30659,,0
30793,Hecho en Casa,Light,2.0,30793,,0
31050,La Calle del Sexo,Light,3.0,31050,,0
31212,Casero V.2010,Light,2.5,31212,,0
31214,Casero V.2010,Light,1.5,31214,,0
31216,Voyeur V.2010,Light,2.5,31216,,0
31218,Voyeur V.2010,Light,1.5,31218,,0
31220,Gemelas V.2010,Light,2.5,31220,,0
31222,Gemelas V.2010,Light,1.5,31222,,0
31224,Trios V.2010,Light,2.5,31224,,0
31226,Trios V.2010,Light,1.5,31226,,0
31268,XVideoClub,Light,3.0,31268,,0
31289,Club XXX,Light,3.0,31289,,0
31291,Hustler XXX,Light,2.5,31291,,0
31296,Hustler XXX,Light,3.0,31296,,0
31728,Megazorrones,Light,3.0,31728,,0
32041,Club,Light,2.5,32041,,0
32048,Worldsex,Light,3.0,32048,,0
32228,MoviSexy XXX,Light,3.0,32228,,0
32230,MoviSexy Soft,Light,3.0,32230,,0
33308,Club Sexy,Light,2.5,33308,,0
34870,El rincón del placer,Light,3.0,34870,,0
34874,El rincón del placer,Light,3.0,34874,,0
34879,El rincón del placer,Light,3.0,34879,,0
34883,El rincón del placer,Light,3.0,34883,,0
34887,El rincón del placer,Light,3.0,34887,,0
35550,Multimedia,Light,2.99,35550,,0
35844,Rincón del Placer,Light,3.0,35844,,0
36270,Thagson,Light,3.0,36270,,0
37013,Passion HD,Light,3.0,37013,,0
37861,Xtreme Movies,Light,3.0,37861,,0
39627,Porno Gafas,Light,3.0,39627,,0
39843,X Art,Light,3.0,39843,,0
26575,Descarga Rappel,More Fun,1.5,26575,,0
26577,Consulta Rappel,More Fun,5.0,26577,,0
31248,,Movistar Recupera,0.5,31248,,0
3525,Polifónicos,Music,1.5,3525,,0
8157,Bono 2,Music,3.0,8157,,0
10379,Lo + De Lo Más,Music,2.0,10379,,0
23546,MTV tono,Music,2.0,23546,,0
24492,Sol Música,Music,2.0,24492,,0
25426,MOVIREAL-20-EMI,Music,1.99,25426,,0
25541,Estilos Musicales,Music,1.5,25541,,0
25547,AkiMusica,Music,2.0,25547,,0
26254,VideosUNIVERSAL,Music,2.0,26254,,0
26256,VideosSONY,Music,2.0,26256,,0
26889,EuropaFM,Music,2.0,26889,,0
26899,EuropaFM-6,Music,1.5,26899,,0
28890,CadenaDial-Tono,Music,2.0,28890,,0
28892,CadenaDial-FT.,Music,1.5,28892,,0
31032,MTV_FT,Music,1.5,31032,,0
31130,RealesMotoGP,Music,1.5,31130,,0
31190,TR199,Music,1.99,31190,,0
34340,Musica.MP3.emi149,Music,1.49,34340,,0
34377,GNTRemi199,Music,1.99,34377,,0
8623,El Mundo,News,0.3,8623,,0
5471,Descarga lfp,Sports,1.5,5471,,0
12899,m-g wap 2,Sports,1.0,12899,,0
39246,Juego CR7 y Diego Costa,Sports,0.82,39246,,0
19082,Videos Pucca,Useful,3.0,19082,,0
38947,Rincon Prohibido,Video,0.82,38947,,0
18503,videos i-tiempo,Weather,0.5,18503,,0
