Service Name,TME Category,Upgrade_CPC,CHG_Period,CHG_Price,CPCs
,Images,12470,0,1.5,{12470}
Fondos,Images,22126,0,1.5,{22126}
Videos,Images,22128,0,2.0,{22128}
Animaciones,Images,22130,0,1.5,{22130}
Fondos Branded,Images,22136,0,1.5,{22136}
Videos Branded,Images,22138,0,2.0,{22138}
Animaciones Brand,Images,22140,0,1.5,{22140}
,Movistar Recupera,31248,0,0.5,{31248}
Fotos La gruta del Sexo,Light,724,0,2.5,{724}
Contactos La gruta del Sexo,Light,726,0,0.5,{726}
Fotos Chicas,Light,886,0,3.0,{886}
Fotos Chicas,Light,890,0,1.5,{890}
Fotos Chicas,Light,892,0,1.5,{892}
Chat Gruta del Sexo,Light,945,0,1.0,{945}
Fotos La gruta del Sexo,Light,947,0,2.5,{947}
,Light,1017,0,2.5,{1017}
,Light,1018,0,0.6,{1018}
,Light,1019,0,0.5,{1019}
,Light,1020,0,0.5,{1020}
,Light,1021,0,0.5,{1021}
,Light,1024,0,0.5,{1024}
Relatos Eroticos,Light,1030,0,1.5,{1030}
Polifónicos,Music,3525,0,1.5,{3525}
Fotos,Light,4090,0,2.0,{4090}
La Gruta del Sexo,Light,4091,0,2.5,{4091}
Clips,Light,4092,0,2.5,{4092}
Chistes,Humor,4746,0,0.15,{4746}
El Mundo,News,8623,0,0.3,{8623}
Descarga lfp,Sports,5471,0,1.5,{5471}
Contactos Localiza,Chats,7417,0,0.15,{7417}
Bono 2,Music,8157,0,3.0,{8157}
Desc. Gameloft,Games,8778,0,3.0,{8778}
Desc. Gameloft,Games,8780,0,2.0,{8780}
Desc. Gameloft,Games,8784,0,1.0,{8784}
Desc. Microjocs,Games,9197,0,3.0,{9197}
Desc.dbigames,Games,9238,0,3.0,{9238}
Chicos Malos,Images,10273,0,1.5,{10273}
Lo + De Lo Más,Music,10379,0,2.0,{10379}
Video Playboy,Light,10883,0,2.5,{10883}
California Sexy,Light,11732,0,3.0,{11732}
California Sexy,Light,11731,0,3.0,{11731}
m-g wap 2,Sports,12899,0,1.0,{12899}
Solo de Juegos,Games,14887,0,2.0,{14887}
Tonos,Humor,16297,0,5.0,{16297}
Tonos,Humor,16293,0,5.0,{16293}
Top Models,Light,16228,0,1.5,{16228}
La Gruta del Sexo,Light,16725,0,3.0,{16725}
Desc TopGam,Games,17589,0,2.0,{17589}
Tonos Padre USA,Humor,17612,0,5.0,{17612}
Tonos FOX,Humor,17641,0,5.0,{17641}
Chat Gay,Chats,17793,0,1.0,{17793}
Gmobile Dating,Light,17795,0,1.0,{17795}
Desc. Imag Vanity,Light,17798,0,2.0,{17798}
Desc Imag Sure-At,Light,17804,0,2.0,{17804}
Desc.Ima Sure-Fox,Light,17808,0,2.0,{17808}
Desc.Ima Sure-Oh,Light,17810,0,2.0,{17810}
Desc.Ima Sure-Tho,Light,17812,0,2.0,{17812}
Des.Im Sure-Valle,Light,17814,0,2.0,{17814}
Des.Ima Sure-Allm,Light,17816,0,2.0,{17816}
Des.Ima Sure-Huge,Light,17818,0,2.0,{17818}
Multimedia,Light,17820,0,2.0,{17820}
Desc.PamelaAnder,Light,18091,0,2.5,{18091}
Sure-High,Light,18187,0,3.0,{18187}
Sure-Kristen,Light,18191,0,3.0,{18191}
Sure-Pitbull,Light,18201,0,3.0,{18201}
Sure-Real,Light,18203,0,3.0,{18203}
videos i-tiempo,Weather,18503,0,0.5,{18503}
Desc. Gamel5,Games,18965,0,5.0,{18965}
Videos Pucca,Useful,19082,0,3.0,{19082}
Desc.FotosPrivate,Light,19162,0,1.5,{19162}
DescFondosPrivate,Light,19168,0,3.0,{19168}
Juego Private,Light,19171,0,3.0,{19171}
Desc.Play2Me1,Games,20508,0,1.0,{20508}
Desc.Play2Me1.5,Games,20510,0,1.5,{20510}
Desc.Play2Me2,Games,20512,0,2.0,{20512}
Desc.Play2Me3,Games,20514,0,3.0,{20514}
Desc.Play2Me4,Games,20516,0,4.0,{20516}
Desc.Play2Me5,Games,20518,0,5.0,{20518}
Fondodedicatoria,Images,21023,0,1.5,{21023}
Fondonombres,Images,21025,0,1.5,{21025}
Temas,Images,21027,0,2.0,{21027}
Hot Video 2.1,Light,21035,0,1.5,{21035}
Digital Play Ground Videos,Light,21104,0,2.5,{21104}
Susc.Imagenes,Light,21110,0,1.5,{21110}
Sueños Calientes,Light,21482,0,3.0,{21482}
Tonos Reales,Humor,22084,0,2.0,{22084}
TonoNombres,Humor,22088,0,2.0,{22088}
TonoChistes,Humor,22090,0,2.0,{22090}
Fondos Portal Humor,Humor,22102,0,1.5,{22102}
Diver Portal Humor,Humor,22104,0,1.5,{22104}
Ofertas,Images,22106,0,1.0,{22106}
Fondos,Images,22108,0,1.5,{22108}
Videos,Images,22110,0,2.0,{22110}
Animaciones,Images,22112,0,1.5,{22112}
Ofertas Branded,Images,22116,0,1.0,{22116}
Fondos Branded,Images,22118,0,1.5,{22118}
Videos Branded,Images,22120,0,2.0,{22120}
Animaciones Brand,Images,22122,0,1.5,{22122}
Fondos Paises,Images,22647,0,1.5,{22647}
Mundo DV Porno,Light,22716,0,5.0,{22716}
Porno Profesional,Light,22718,0,3.0,{22718}
Video Porn Stars,Light,22726,0,1.5,{22726}
Video Porn Stars,Light,22728,0,2.5,{22728}
Forman TV,Light,23275,0,2.5,{23275}
Venus,Light,23265,0,2.5,{23265}
Fantasy Mansion,Light,23382,0,2.0,{23382}
Wicked TV,Light,23385,0,2.5,{23385}
MTV tono,Music,23546,0,2.0,{23546}
Divinas mamás,Light,23832,0,3.0,{23832}
Bizarro,Light,23835,0,2.0,{23835}
Corridas,Light,23837,0,3.0,{23837}
Corridas,Light,23839,0,2.0,{23839}
Hardcore,Light,23841,0,3.0,{23841}
Hardcore,Light,23843,0,2.0,{23843}
Hentai,Light,23845,0,3.0,{23845}
Hentai,Light,23843,0,2.0,{23843}
Hentai,Light,23847,0,2.0,{23847}
Lesbianas,Light,23849,0,3.0,{23849}
Lesbianas,Light,23851,0,2.0,{23851}
Cochinas Latinas,Light,23853,0,3.0,{23853}
Famosas,Light,23855,0,2.0,{23855}
Anal,Light,23869,0,5.0,{23869}
Casadas,Light,23923,0,2.0,{23923}
Casadas,Light,23925,0,3.0,{23925}
Jovencitas,Light,23927,0,2.0,{23927}
Jovencitas,Light,23929,0,3.0,{23929}
Mamadas,Light,23931,0,2.0,{23931}
Mamadas,Light,23933,0,3.0,{23933}
Ibericas,Light,23935,0,2.0,{23935}
Putas,Light,23937,0,3.0,{23937}
Sexo en publico,Light,23939,0,2.0,{23939}
Follamigos,Light,23941,0,3.0,{23941}
You Porn,Light,24061,0,2.0,{24061}
Canal Webcams,Light,24062,0,2.0,{24062}
Canal Amateur,Light,24063,0,2.0,{24063}
Canal Hentai,Light,24064,0,2.0,{24064}
Canal XXX,Light,24067,0,2.0,{24067}
Canal Para Ellas,Light,24068,0,2.0,{24068}
Canal Especiales,Light,24069,0,2.0,{24069}
Canal Porn Stars,Light,24070,0,2.0,{24070}
FHM,Light,24274,0,5.0,{24274}
Sol Música,Music,24492,0,2.0,{24492}
Contenido Glu,Games,24852,0,1.0,{24852}
Contenido Glu,Games,24855,0,3.0,{24855}
Contenido Glu,Games,24857,0,4.0,{24857}
Gay,Light,24981,0,2.0,{24981}
Gay,Light,24983,0,3.0,{24983}
Maduras,Light,24985,0,2.0,{24985}
Maduras,Light,24987,0,3.0,{24987}
Imagenes sexy wap,Light,25061,0,1.5,{25061}
Anim sexy Wap,Images,25064,0,1.5,{25064}
Videos sexy Wap,Light,25067,0,2.0,{25067}
Abuelos Cachondos,Light,25069,0,3.0,{25069}
Hardcore,Light,25071,0,2.0,{25071}
Imags sexy xhtml,Images,25082,0,1.5,{25082}
Anim sexy Xhtml,Images,25084,0,1.5,{25084}
Video Sexy,Light,25086,0,2.0,{25086}
Webcams,Light,25126,0,1.5,{25126}
webcams,Light,25410,0,2.5,{25410}
Oriental,Light,25130,0,1.5,{25130}
Oriental,Light,25409,0,2.5,{25409}
Culazos,Light,25134,0,1.5,{25134}
Culazos,Light,25408,0,2.5,{25408}
Chicas humedas,Light,25138,0,1.5,{25138}
Chicas humedas,Light,25407,0,2.5,{25407}
Jovencitas,Light,25142,0,1.5,{25142}
Jovencitas,Light,25707,0,2.5,{25707}
Porn Stars,Light,25146,0,1.5,{25146}
Porn Stars,Light,25405,0,2.5,{25405}
Stripers,Light,25150,0,1.5,{25150}
Stripers,Light,25404,0,2.5,{25404}
Chicas Malas,Light,25162,0,1.5,{25162}
Latinas,Light,25401,0,2.5,{25401}
Macizos,Light,25172,0,1.5,{25172}
Interviu,Light,25175,0,2.5,{25175}
Macizos,Light,25399,0,2.5,{25399}
Interviu,Light,25178,0,2.5,{25178}
Private XXX,Light,25377,0,2.5,{25377}
Wicked,Light,25398,0,2.5,{25398}
Tattoo,Light,25414,0,1.5,{25414}
Tattoo,Light,25415,0,2.5,{25415}
Lencería,Light,25417,0,2.5,{25417}
Lencería,Light,25419,0,1.5,{25419}
MOVIREAL-20-UNIVE,Music,25422,0,1.99,{25422}
MOVIREAL-20-SONY,Music,25424,0,1.99,{25424}
MOVIREAL-20-EMI,Music,25426,0,1.99,{25426}
MOVIREAL-20-WARNE,Music,25428,0,1.99,{25428}
MOVIREAL-20-GENX,Music,25432,0,1.99,{25432}
Morenazas,Light,25437,0,2.5,{25437}
Morenazas,Light,25442,0,1.5,{25442}
Tonos de Humor,Music,25452,0,2.0,{25452}
Mulatas,Light,25454,0,2.5,{25454}
Mulatas,Light,25456,0,1.5,{25456}
Rubias,Light,25458,0,2.5,{25458}
Rubias,Light,25460,0,1.5,{25460}
Supertangas,Light,25462,0,2.5,{25462}
Supertangas,Light,25464,0,1.5,{25464}
Estilos Musicales,Music,25541,0,1.5,{25541}
AkiMusica,Music,25547,0,2.0,{25547}
Duos,Light,25710,0,1.5,{25710}
Vecinitas,Light,25712,0,2.5,{25712}
VideosUNIVERSAL,Music,26254,0,2.0,{26254}
VideosSONY,Music,26256,0,2.0,{26256}
Descarga Rappel,More Fun,26575,0,1.5,{26575}
Consulta Rappel,More Fun,26577,0,5.0,{26577}
,Games,26812,0,3.0,{26812}
JuegoTHQ 4e,Games,26815,0,4.0,{26815}
EuropaFM,Music,26889,0,2.0,{26889}
EuropaFM-6,Music,26899,0,1.5,{26899}
Venus,Light,26996,0,1.5,{26996}
Venus,Light,26998,0,2.5,{26998}
ForMan,Light,27000,0,1.5,{27000}
ForMan,Light,27002,0,2.5,{27002}
Fondos Dinamicos,Images,28347,0,2.0,{28347}
Asiaticas,Light,28454,0,2.0,{28454}
Asiaticas,Light,28458,0,3.0,{28458}
Juego 3€,Games,28616,0,3.0,{28616}
Tera Patrick Soft,Light,28767,0,1.5,{28767}
Tera Patrick Soft,Light,28769,0,2.5,{28769}
CadenaDial-Tono,Music,28890,0,2.0,{28890}
CadenaDial-FT.,Music,28892,0,1.5,{28892}
Playboy Tv,Light,29033,0,2.0,{29033}
En Familia!,Light,29148,0,3.0,{29148}
Incesto,Light,29150,0,2.0,{29150}
Grandes Pollas,Light,29152,0,3.0,{29152}
Gang Bang,Light,29154,0,2.0,{29154}
Videoclub X,Light,29288,0,2.5,{29288}
Videoclub X,Light,29290,0,4.0,{29290}
Juego EA 1e,Games,29295,0,1.0,{29295}
Juego EA 2e,Games,29297,0,2.0,{29297}
Juego EA 3e,Games,29300,0,3.0,{29300}
Asiaticas,Light,28452,0,3.0,{28452}
Anal,Light,30199,0,2.0,{30199}
Webcams,Light,30232,0,2.0,{30232}
Por Culo,Light,30201,0,3.0,{30201}
Enfermeras,Light,30203,0,2.0,{30203}
Enfermeras,Light,30205,0,3.0,{30205}
Exnovias,Light,30228,0,2.0,{30228}
Ex Novias,Light,30230,0,3.0,{30230}
Sexo de Lujo,Light,30234,0,3.0,{30234}
Tetonas XXX,Light,30236,0,2.0,{30236}
Tetonas,Light,30238,0,3.0,{30238}
Universitarias,Light,30240,0,2.0,{30240}
Universitarias,Light,30242,0,3.0,{30242}
Orgias,Light,30244,0,2.0,{30244}
Orgias,Light,30246,0,3.0,{30246}
Orgasmos,Light,30269,0,2.0,{30269}
Orgasmos Femeninos,Light,30271,0,3.0,{30271}
Travestis,Light,30273,0,2.0,{30273}
Travestis,Light,30275,0,3.0,{30275}
Interracial,Light,30277,0,2.0,{30277}
Mulatas,Light,30279,0,3.0,{30279}
Porno Japones,Light,30281,0,2.0,{30281}
Sexo Oriental,Light,30283,0,3.0,{30283}
Peludas,Light,30285,0,2.0,{30285}
Tríos,Light,30287,0,3.0,{30287}
Gordas,Light,30289,0,2.0,{30289}
Gordas,Light,30291,0,3.0,{30291}
Meadas,Light,30293,0,2.0,{30293}
Especial Coños,Light,30295,0,3.0,{30295}
"Juegos EA 1,99eur",Games,30410,0,1.99,{30410}
"Juegos EA 2,99eur",Games,30412,0,2.99,{30412}
"Juegos EA 3,99eur",Games,30415,0,3.99,{30415}
"Juegos EA 4,99",Games,30417,0,4.99,{30417}
Intercambios,Light,30469,0,2.0,{30469}
Club de Intercambios,Light,30471,0,3.0,{30471}
Amateur,Light,30473,0,2.0,{30473}
Sexo Casero,Light,30475,0,3.0,{30475}
Mystique,Light,30657,0,2.5,{30657}
Mystique,Light,30659,0,1.5,{30659}
Aficionados Españoles,Light,30791,0,3.0,{30791}
Hecho en Casa,Light,30793,0,2.0,{30793}
MTV_FT,Music,31032,0,1.5,{31032}
Play2me,Games,31039,0,3.99,{31039}
"Juegos P2M 2,99",Games,31041,0,2.99,{31041}
"Juegos P2M 1,99",Games,31043,0,1.99,{31043}
La Calle del Sexo,Light,31050,0,3.0,{31050}
RealesMotoGP,Music,31130,0,1.5,{31130}
FondosMotoGP,Images,31132,0,1.5,{31132}
"Juegos 2,99 euros",Games,31150,0,2.99,{31150}
TR199,Music,31190,0,1.99,{31190}
Casero V.2010,Light,31212,0,2.5,{31212}
Casero V.2010,Light,31214,0,1.5,{31214}
Voyeur V.2010,Light,31216,0,2.5,{31216}
Voyeur V.2010,Light,31218,0,1.5,{31218}
Gemelas V.2010,Light,31220,0,2.5,{31220}
Gemelas V.2010,Light,31222,0,1.5,{31222}
Trios V.2010,Light,31224,0,2.5,{31224}
Trios V.2010,Light,31226,0,1.5,{31226}
XVideoClub,Light,31268,0,3.0,{31268}
Club XXX,Light,31289,0,3.0,{31289}
Hustler XXX,Light,31291,0,2.5,{31291}
Hustler XXX,Light,31296,0,3.0,{31296}
GayMobile+18,Light,31548,0,2.0,{31548}
GayMobile+18,Light,31550,0,3.0,{31550}
Temas Movistar,Images,31688,0,1.99,{31688}
Megazorrones,Light,31728,0,3.0,{31728}
"Juego Glu 1,99 eu",Games,31952,0,1.99,{31952}
"Juego Glu 2,99 eu",Games,31954,0,2.99,{31954}
"Juego Glu 3,99 eu",Games,31956,0,3.99,{31956}
Club,Light,32041,0,2.5,{32041}
Worldsex,Light,32048,0,3.0,{32048}
Todo Humor,Humor,32212,0,1.99,{32212}
MoviSexy XXX,Light,32228,0,3.0,{32228}
MoviSexy Soft,Light,32230,0,3.0,{32230}
"Descarga 0,99 eur",Games,32668,0,0.99,{32668}
"Descarga 1,49 eur",Games,32670,0,1.49,{32670}
"Descarga 1,99 eur",Games,32672,0,1.99,{32672}
"Descarga 2,99 eur",Games,32674,0,2.99,{32674}
"Descarga 3,99 eur",Games,32676,0,3.99,{32676}
Juegos Sexy,Games,33109,0,0.99,{33109}
"Juegos Sexy 3,99",Games,33115,0,3.99,{33115}
Juegos HD Android,Games,33289,0,4.99,{33289}
"Url 3,99 eur",Games,33291,0,3.99,{33291}
"Juego HD 1,99",Games,33295,0,1.99,{33295}
"Juego HD 2,99",Games,33299,0,2.99,{33299}
"Juego HD 3,99",Games,33301,0,3.99,{33301}
"Juego HD 4,99",Games,33303,0,4.99,{33303}
Club Sexy,Light,33308,0,2.5,{33308}
Glu HD,Games,33853,0,4.99,{33853}
Glu HD,Games,33855,0,3.99,{33855}
Glu HD 299,Games,33857,0,2.99,{33857}
Glu HD 199,Games,33859,0,1.99,{33859}
Desc Juego 4 eur,Games,34164,0,4.0,{34164}
GNTRalt199,Music,34311,0,1.99,{34311}
GNTTorc199,Music,34313,0,1.99,{34313}
GNFTwar149,Music,34328,0,1.49,{34328}
Musica.MP3.war99,Music,34330,0,0.99,{34330}
GNFTson149,Music,34332,0,1.49,{34332}
GNFTson99,Music,34334,0,0.99,{34334}
GNFTuni149,Music,34336,0,1.49,{34336}
GNFTuni99,Music,34338,0,0.99,{34338}
Musica.MP3.emi149,Music,34340,0,1.49,{34340}
GNFTorc149,Music,34344,0,1.49,{34344}
GNFTorc099,Music,34346,0,0.99,{34346}
GNFTalt149,Music,34348,0,1.49,{34348}
GNFTalt99,Music,34350,0,0.99,{34350}
GNFTgen149,Music,34352,0,1.49,{34352}
GNFTgen99,Music,34354,0,0.99,{34354}
GNFVwar199,Music,34356,0,1.99,{34356}
GNFVson199,Music,34358,0,1.99,{34358}
GNFVuni199,Music,34361,0,1.99,{34361}
GNFVorc199,Music,34365,0,1.99,{34365}
GNFValt199,Music,34367,0,1.99,{34367}
GNFVgen199,Music,34369,0,1.99,{34369}
GNTRwar199,Music,34371,0,1.99,{34371}
GNTRson199,Music,34373,0,1.99,{34373}
GNTRuni199,Music,34375,0,1.99,{34375}
GNTRemi199,Music,34377,0,1.99,{34377}
GNTRorc199,Music,34379,0,1.99,{34379}
GNTRalt199,Music,34381,0,1.99,{34381}
GNTRgen199,Music,34383,0,1.99,{34383}
Extra Juego 149,Games,34590,0,1.49,{34590}
Extra Juego 249,Games,34594,0,1.49,{34594}
Extra Juego 399,Games,34597,0,3.99,{34597}
Extra Juego 599,Games,34601,0,5.99,{34601}
El rincón del placer,Light,34870,0,3.0,{34870}
El rincón del placer,Light,34874,0,3.0,{34874}
El rincón del placer,Light,34879,0,3.0,{34879}
El rincón del placer,Light,34883,0,3.0,{34883}
El rincón del placer,Light,34887,0,3.0,{34887}
Extra Juego Gloft,Games,35308,0,0.99,{35308}
Extra Juego Gloft,Games,35313,0,1.99,{35313}
Extra Juego Gloft,Games,35315,0,2.99,{35315}
Extra Juego Gloft,Games,35317,0,4.99,{35317}
Multimedia,Light,35550,0,2.99,{35550}
Juego HD de EA,Games,35689,0,3.99,{35689}
Rincón del Placer,Light,35844,0,3.0,{35844}
Thagson,Light,36270,0,3.0,{36270}
Playboy,Light,36310,0,3.0,{36310}
Penthouse,Light,36396,0,3.0,{36396}
GNFTwar199,Music,36432,0,1.99,{36432}
JuegoCompletoXHTML0.99,Games,36894,0,0.99,{36894}
Juego Play2me,Games,36896,0,1.99,{36896}
JuegoCompletoXHTML2.99,Games,36898,0,2.99,{36898}
Juego Play2me,Games,36900,0,3.99,{36900}
Passion HD,Light,37013,0,3.0,{37013}
"Extra Juego 4,49",Games,37252,0,4.49,{37252}
"Extra Juego 5,49",Games,37254,0,5.49,{37254}
"Extra Juego 6,99",Games,37258,0,6.99,{37258}
"Extra Juego 7,99",Games,37260,0,7.99,{37260}
"Juego EA 3,99 D",Games,37284,0,3.99,{37284}
Extra Juego Gloft,Games,37288,0,9.99,{37288}
Extra Juego Gloft,Games,37290,0,14.99,{37290}
Extra Juego EA,Games,37308,0,0.75,{37308}
Extra Juego EA,Games,37310,0,1.49,{37310}
Extra Juego EA,Games,37312,0,2.49,{37312}
Juegos Cartoon,Games,37828,0,0.75,{37828}
Cartoon Network,Games,37830,0,0.99,{37830}
Cartoon Network,Games,37832,0,1.99,{37832}
Cartoon Network,Games,37834,0,2.49,{37834}
Cartoon Network,Games,37836,0,2.99,{37836}
Xtreme Movies,Light,37861,0,3.0,{37861}
Go Play,Games,37922,0,0.75,{37922}
Go Play,Games,37924,0,0.99,{37924}
Go Play,Games,37941,0,1.99,{37941}
Go Play,Games,37943,0,2.49,{37943}
Go Play,Games,37945,0,2.99,{37945}
Go Play,Games,37951,0,3.99,{37951}
Juego,Games,38641,0,0.75,{38641}
Juego,Games,38643,0,3.99,{38643}
Juego,Games,38645,0,6.99,{38645}
Juego,Games,38647,0,7.99,{38647}
Extra juegos,Games,38661,0,0.75,{38661}
Extra juegos,Games,38663,0,0.99,{38663}
Extra juegos,Games,38665,0,1.99,{38665}
Extra juegos,Games,38667,0,3.99,{38667}
Extra juegos,Games,38681,0,6.99,{38681}
Extra juegos,Games,38683,0,7.99,{38683}
Extra juegos,Games,38685,0,9.99,{38685}
Extra juegos,Games,38687,0,14.99,{38687}
Rincon Prohibido,Video,38947,0,0.82,{38947}
Mi Sex Video,Light,39181,0,2.99,{39181}
Juego CR7 y Diego Costa,Sports,39246,0,0.82,{39246}
Porno Gafas,Light,39627,0,3.0,{39627}
X Art,Light,39843,0,3.0,{39843}
Extra Juego Play2Me,Games,40021,0,4.99,{40021}
Funatic Games,Games,41049,0,2.06,{41049}
Juegos Play On,Games,41233,0,2.06,{41233}
Cursos Miriadax,Education,44930,0,29.76,{44930}
Cursos Miriadax,Education,44932,0,32.93,{44932}
Go Play,Games,46069,0,1.65,{46069}
Go Play,Games,46210,0,0.4,{46210}
Go Play,Games,46212,0,0.82,{46212}
Go Play,Games,46214,0,1.23,{46214}
Go Play,Games,46216,0,1.64,{46216}
Go Play,Games,46218,0,2.06,{46218}
Go Play,Games,46220,0,2.47,{46220}
Go Play,Games,46222,0,3.3,{46222}
Go Play,Games,46224,0,4.12,{46224}
Juegos Onmo,Games,46271,0,0.82,{46271}
Juegos Onmo,Games,46273,0,2.47,{46273}
Juegos Onmo,Games,46275,0,4.12,{46275}
Juegos Onmo,Games,46277,0,5.78,{46277}
